Marca,Modelo / Ano,Classe & IP Original,Peso de Fábrica (kg),Potência de Fábrica (CV/HP),Distribuição Dianteira (%),opção 2 
Audi,Audi RS 5 Coupé 2011,A 613,1715,444 cv,57%,AWD
Audi,Audi RS 4 Avant 2018,A 637,1715,444 cv,56%,AWD
Audi,Audi RS 4 Avant 2013,A 607,1795,444 cv,56%,AWD
Audi,Audi RS 4 Avant 2001,B 544,1620,375 cv,60%,AWD
Audi,Audi RS 4 2006,B 593,1650,414 cv,58%,AWD
Audi,Audi RS 3 Sportback 2011,B 565,1575,335 cv,60%,AWD
Audi,Audi RS 3 Sedã 2020,A 617,1570,394 cv,59%,AWD
Audi,Audi R8 V10 Plus 2016,S1 731,1555,602 cv,43%,AWD
Audi,Audi R8 LMS 2009,S2 810,1290,500 cv,43%,RWD
Audi,Audi R8 Coupé V10 GT RWD 2023,S1 769,1570,612 cv,42%,RWD
Audi,Audi R8 Coupé V10 2013 mais 5.2 FSI quattro,A 694,1625,542 cv,44%,AWD
Audi,1986 Audi #2 Audi Sport quattro S1,S1 726,1090,550 cv,52%,AWD
Austin-Healey,Austin-Healey 3000 MkIII 1965,D 352,1157,150 cv,52%,RWD
Autozam,Autozam AZ-1 de 1993,D 342,720,63 cv,44%,RWD
BAC,BAC Mono 2014,S1 766,540,280 cv,42%,RWD
BMW,Pacote de Boas-Vindas do BMW M4 Competition Coupé 2021,S1 800,1725,503 cv,52%,RWD
BMW,BMW iX xDrive50 2022,B 595,2565,516 cv,49%,AWD
BMW,BMW i8 2015,A 665,1485,357 cv,48%,AWD
BMW,BMW Z4 Roadster 2019,A 634,1490,382 cv,50%,RWD
BMW,BMW Z4 M Coupé 2008,B 579,1420,330 cv,50%,RWD
BMW,BMW X5 M 2011,B 546,2380,550 cv,52%,AWD
BMW,BMW M8 Competition Coupé 2020,A 684,1885,617 cv,53%,AWD
BMW,BMW M5 de 1995,B 516,1650,342 cv,51%,RWD
BMW,BMW M5 de 1988,C 470,1433,256 cv,53%,RWD
BMW,BMW M5 CS 2022,S1 731,1825,627 cv,54%,AWD
BMW,BMW M5 2012,A 652,1870,560 cv,52%,RWD
BMW,BMW M5 2009,B 595,1830,500 cv,52%,RWD
BMW,BMW M5 2003,B 580,1795,394 cv,52%,RWD
BMW,BMW M4 GTS 2016,S1 711,1510,493 cv,52%,RWD
BMW,BMW M4 Coupé 2014,A 679,1497,425 cv,52%,RWD
BMW,BMW M4 Competition Coupé 2021,A 666,1725,503 cv,52%,RWD
BMW,BMW M3 de 1997,B 549,1440,321 cv,50%,RWD
BMW,BMW M3 de 1988,C 474,1200,192 cv,52%,RWD
BMW,BMW M3 GTS 2010,A 678,1530,444 cv,52%,RWD
BMW,BMW M3 2008,A 608,1600,414 cv,52%,RWD
BMW,BMW M3 2005,B 554,1570,333 cv,50%,RWD
BMW,BMW M2 Cupé de Competição 2020,A 656,1575,405 cv,52%,RWD
BMW,BMW M1 de 1981,B 510,1300,277 cv,44%,RWD
BMW,BMW Isetta 300 de 1957 Exportação,D 100,350,13 cv,48%,RWD
BMW,BMW 850CSi 1995,C 493,1865,375 cv,53%,RWD
BMW,BMW 2002 Turbo 1973,C 424,1080,170 cv,54%,RWD
BMW,2024 BMW X6 M Competition,A 672,2370,617 cv,52%,AWD
BMW,2023 BMW M2 Forza Edition,A 700,1730,453 cv,52%,RWD
BMW,2023 BMW M2,A 647,1730,453 cv,52%,RWD
Bentley,Bentley Continental GT Conversível 2021,A 649,2414,626 cv,55%,AWD
Bentley,Bentley Bentayga 2016,A 612,2440,600 cv,57%,AWD
Buick,1987 Buick Regal GNX,C 454,1588,276 cv,56%,RWD
Cadillac,2022 Cadillac CT5-V Blackwing,S1 701,1869,668 cv,54%,RWD
Cadillac,2022 Cadillac CT4-V Blackwing,A 650,1751,472 cv,53%,RWD
Cadillac,2016 Cadillac CTS-V Sedan,A 648,1880,640 cv,54%,RWD
Cadillac,2016 Cadillac ATS-V,A 601,1680,464 cv,53%,RWD
Cadillac,2013 Cadillac XTS Limousine,D 381,2320,300 cv,59%,FWD
Can-Am,2018 Can-Am Maverick X RS Turbo R,B 568,720,172 cv,43%,AWD
Casey Currie Motorsports,2019 Casey Currie Motorsports #4402 Ultra 4 'Trophy Jeep',A 641,2041,850 cv,52%,AWD
Chevrolet,Chevrolet Nova Super Sport 396 de 1969,C 431,1485,375 cv,57%,RWD
Chevrolet,Chevrolet K-10 Custom 1972,D 268,1980,175 cv,56%,AWD
Chevrolet,Chevrolet Impala Super Sport 409 de 1964,C 427,1655,425 cv,55%,RWD
Chevrolet,Chevrolet El Camino Super Sport 454 de 1970,C 430,1720,450 cv,57%,RWD
Chevrolet,Chevrolet Corvette ZR-1 de 1970,C 497,1520,370 cv,49%,RWD
Chevrolet,Chevrolet Corvette Stingray 427 1967,B 510,1420,435 cv,48%,RWD
Chevrolet,Chevrolet Corvette 1960,C 428,1350,230 cv,52%,RWD
Chevrolet,Chevrolet Corvette 1953,D 270,1300,150 cv,53%,RWD
Chevrolet,Chevrolet Chevelle Super Sport 454 de 1970,C 424,1700,450 cv,56%,RWD
Chevrolet,Chevrolet Camaro Z28 1979,D 364,1610,175 cv,56%,RWD
Chevrolet,Chevrolet Camaro Z28 1970,C 430,1500,360 cv,56%,RWD
Chevrolet,Chevrolet Camaro Super Sport Coupe 1969,C 471,1490,300 cv,56%,RWD
Chevrolet,Chevrolet Bel Air 1957,D 320,1560,283 cv,54%,RWD
Chevrolet,Chevrolet 150 Sedã Utilitária de 1955,D 221,1450,162 cv,53%,RWD
Chevrolet,2024 Chevrolet Corvette E-Ray,S1 737,1712,655 cv,40%,AWD
Chevrolet,2024 Chevrolet Camaro ZL1,S1 718,1761,650 cv,54%,RWD
Chevrolet,2023 Chevrolet Corvette Z06,S1 763,1561,670 cv,40%,RWD
Chevrolet,2020 Chevrolet Silverado LT Trail Boss,C 449,2325,355 cv,57%,AWD
Chevrolet,2020 Chevrolet Corvette Stingray Coupe,A 700,1530,495 cv,40%,RWD
Chevrolet,2019 Chevrolet Corvette ZR1,S1 778,1614,755 cv,50%,RWD
Chevrolet,2018 Chevrolet Camaro ZL1 1LE,S1 728,1732,650 cv,54%,RWD
Chevrolet,2017 Chevrolet Camaro ZL1,S1 727,1761,650 cv,54%,RWD
Chevrolet,2015 Chevrolet Corvette Z06,S1 755,1598,650 cv,50%,RWD
Chevrolet,2015 Chevrolet Camaro Z/28,A 695,1732,505 cv,54%,RWD
Chevrolet,2009 Chevrolet Corvette ZR1,S1 712,1508,638 cv,51%,RWD
Chevrolet,2002 Chevrolet Corvette Z06,A 602,1414,405 cv,51%,RWD
Chevrolet,1996 Chevrolet Impala Super Sport,C 407,1840,260 cv,56%,RWD
Chevrolet,1995 Chevrolet Corvette ZR-1,B 576,1572,405 cv,51%,RWD
Chevrolet,1988 Chevrolet Monte Carlo Super Sport,D 282,1545,180 cv,57%,RWD
Datsun,Datsun 510 de 1970,D 143,915,96 cv,52%,RWD
Datsun,Datsun 2000 Roadster 1969,D 323,930,135 cv,50%,RWD
Datsun,1972 Datsun #269 atacando o 240Z da Clock Racing 'Fera-Subida de Colina Totalmente em Carbono',R 951,900,750 cv,48%,RWD
De Tomaso,De Tomaso Pantera GT5 de 1984,B 562,1420,350 cv,43%,RWD
DeBerti,2019 DeBerti Toyota Tacoma TRD ‘The Performance Truck’,S1 717,1814,900 cv,51%,RWD
DeBerti,2019 DeBerti Ford Super Duty F-250 Lariat 'Transformer',B 548,3402,450 cv,60%,RWD
DeBerti,2018 DeBerti Chevrolet Silverado 1500 Drift Truck,S1 707,2041,1000 cv,53%,RWD
DeBerti,2013 DeBerti Jeep Wrangler Unlimited,A 645,2154,707 cv,51%,AWD
DeLorean,DeLorean DMC-12 de 1982,D 357,1230,130 cv,35%,RWD
Dinâmica de Transporte AMG,2554 AMG Transport Dynamics M12S Warthog CST,A 663,3810,820 cv,50%,AWD
Dodge,Dodge Dart HEMI Super Stock 1968,B 540,1360,425 cv,58%,RWD
Dodge,Dodge Coronet Super Bee de 1970,C 455,1650,425 cv,56%,RWD
Dodge,Dodge Charger R/T 1969,C 417,1650,425 cv,56%,RWD
Dodge,Dodge Charger Daytona HEMI 1969,C 479,1720,425 cv,56%,RWD
Dodge,Dodge Challenger R/T 1970,C 443,1620,425 cv,56%,RWD
Dodge,2022 Dodge Challenger SRT Super Stock,A 695,1996,807 cv,57%,RWD
Dodge,2021 Dodge Durango SRT Hellcat,A 628,2590,710 cv,53%,AWD
Dodge,2018 Dodge Challenger SRT Demon,A 678,1941,840 cv,58%,RWD
Dodge,2016 Dodge Viper ACR,S1 786,1530,645 cv,49%,RWD
Dodge,2015 Dodge Charger SRT Hellcat,A 637,2075,707 cv,56%,RWD
Dodge,2015 Dodge Challenger SRT Hellcat,A 631,2015,707 cv,57%,RWD
Dodge,2008 Dodge Viper SRT-10 ACR,S1 735,1508,600 cv,49%,RWD
Dodge,2006 Dodge Ram SRT-10,B 547,2336,500 cv,56%,RWD
Dodge,1999 Dodge Viper GTS ACR Forza Edition,A 700,1538,450 cv,49%,RWD
Dodge,1999 Dodge Viper GTS ACR,B 598,1538,450 cv,49%,RWD
Exomotive,2018 Exomotive Exocet Sport V8 XP-5,S2 841,703,430 cv,48%,RWD
Ferrari,Ferrari Dino 246 GT 1969,C 428,1080,195 cv,43%,RWD
Ferrari,Ferrari 512 S de 1970,S1 774,840,550 cv,41%,RWD
Ferrari,Ferrari 275 GTB4 Spider de 1967,B 579,1100,300 cv,48%,RWD
Ferrari,Ferrari 250 GTO de 1962,C 494,880,300 cv,48%,RWD
Ferrari,Ferrari 250 GT Berlinetta Lusso 1962,C 475,1020,240 cv,49%,RWD
Ferrari,Ferrari #24 Ferrari Spa 330 P4 de 1967,A 684,792,450 cv,42%,RWD
Ferrari,2025 Ferrari F80,R 916,1525,1184 cv,42%,AWD
Ferrari,2022 Ferrari 296 GTB,S2 811,1470,819 cv,41%,RWD
Ferrari,2020 Ferrari SF90 Stradale,S2 851,1570,986 cv,45%,AWD
Ferrari,2020 Ferrari Roma,S1 735,1570,612 cv,50%,RWD
Ferrari,2019 Ferrari Monza SP2,S1 773,1500,799 cv,48%,RWD
Ferrari,2019 Ferrari F8 Tributo,S2 802,1435,710 cv,42%,RWD
Ferrari,2019 Ferrari 488 Pista,S2 803,1385,710 cv,42%,RWD
Ferrari,2018 Ferrari Portofino,S1 714,1664,591 cv,48%,RWD
Ferrari,2018 Ferrari FXX-K Evo Welcome Pack,R 998,1165,1036 cv,42%,RWD
Ferrari,2018 Ferrari FXX-K Evo,R 957,1165,1036 cv,42%,RWD
Ferrari,2017 Ferrari J50 Preorder Car,S1 800,1370,681 cv,42%,RWD
Ferrari,2017 Ferrari J50,S1 772,1370,681 cv,42%,RWD
Ferrari,2017 Ferrari 812 Superfast,S1 780,1630,789 cv,47%,RWD
Ferrari,2015 Ferrari F12tdf,S1 788,1520,769 cv,46%,RWD
Ferrari,2015 Ferrari 488 GTB,S1 770,1475,661 cv,42%,RWD
Ferrari,2014 Ferrari FXX K,R 936,1165,1036 cv,42%,RWD
Ferrari,2013 Ferrari LaFerrari,S2 857,1365,950 cv,41%,RWD
Ferrari,2013 Ferrari 458 Speciale,S1 768,1395,597 cv,42%,RWD
Ferrari,2012 Ferrari 599XX Evolution,S2 894,1310,740 cv,47%,RWD
Ferrari,2010 Ferrari 599XX,S2 840,1310,720 cv,47%,RWD
Ferrari,2009 Ferrari 458 Italia,S1 721,1485,562 cv,42%,RWD
Ferrari,2007 Ferrari 430 Scuderia,S1 702,1350,503 cv,43%,RWD
Ferrari,2005 Ferrari FXX,S2 900,1155,789 cv,42%,RWD
Ferrari,2002 Ferrari Enzo Ferrari,S1 755,1365,650 cv,44%,RWD
Ferrari,1996 Ferrari F50 GT,R 949,910,750 cv,42%,RWD
Ferrari,1995 Ferrari F50,A 678,1230,513 cv,42%,RWD
Ferrari,1994 Ferrari F355 Berlinetta,B 588,1350,375 cv,43%,RWD
Ferrari,1992 Ferrari 512 TR,A 615,1473,421 cv,41%,RWD
Ferrari,1989 Ferrari F40 Competizione,R 948,1050,690 cv,42%,RWD
Ferrari,1987 Ferrari F40,A 678,1237,471 cv,42%,RWD
Ferrari,1984 Ferrari 288 GTO,A 643,1160,395 cv,44%,RWD
Ford,Ford XB Falcon GT 1973,C 422,1587,300 cv,56%,RWD
Ford,Ford Thunderbird 1957,D 332,1588,245 cv,54%,AWD
Ford,Ford Mustang GT Coupé 1965,D 388,1295,271 cv,55%,RWD
Ford,Ford Mustang GT 2+2 Fastback Forza Edition 1968,A 700,1385,325 cv,55%,AWD
Ford,Ford Mustang GT 2+2 Fastback 1968,D 394,1385,325 cv,55%,AWD
Ford,Ford Mustang Boss 302 de 1969,C 468,1470,290 cv,56%,RWD
Ford,Ford De Luxe Cupê de Cinco Janelas de 1932,D 100,1040,85 cv,51%,RWD
Ford,Ford Capri RS3100 1973,D 394,1050,148 cv,52%,RWD
Ford,Ford #5 Escort RS1800 MkII 1977,B 544,980,250 cv,52%,RWD
Ford,Ford #2 GT40 Mk II de 1966,A 666,1085,485 cv,43%,RWD
Ford,2024 Ford Mustang GT,A 628,1735,486 cv,54%,RWD
Ford,2024 Ford Mustang Dark Horse,A 669,1755,500 cv,54%,RWD
Ford,2023 Ford Fiesta ST,C 500,1280,197 cv,61%,FWD
Ford,2023 Ford F-150 Raptor R Welcome Pack,B 600,2700,700 cv,57%,AWD
Ford,2023 Ford F-150 Raptor R,B 536,2700,700 cv,57%,AWD
Ford,2022 Ford Supervan 4,R 919,2000,1972 cv,50%,AWD
Ford,2022 Ford Focus ST,B 594,1437,276 cv,61%,FWD
Ford,2022 Ford F-150 Lightning,C 500,2989,580 cv,51%,AWD
Ford,2022 Ford Bronco Raptor,C 473,2600,418 cv,56%,AWD
Ford,2020 Ford Super Duty F-450 DRW PLATINUM Forza Edition,A 700,3880,475 cv,59%,AWD
Ford,2020 Ford Super Duty F-450 DRW PLATINUM,D 379,3880,475 cv,59%,AWD
Ford,2020 Ford Mustang Shelby GT500,S1 734,1890,760 cv,56%,RWD
Ford,2020 Ford #2069 Ford Performance Bronco R,C 441,2268,310 cv,53%,AWD
Ford,2018 Ford Mustang RTR Spec 5,A 648,1680,460 cv,54%,RWD
Ford,2017 Ford M-Sport Fiesta RS,S1 707,1260,380 cv,54%,AWD
Ford,2017 Ford GT,S1 757,1385,647 cv,43%,RWD
Ford,2017 Ford Focus RS,B 588,1550,350 cv,59%,AWD
Ford,2017 Ford #25 'Brocky' Ultra4 Bronco RTR,A 644,2041,600 cv,50%,AWD
Ford,2017 Ford #14 Rahal Letterman Lanigan Racing Fiesta,S1 772,1210,600 cv,54%,AWD
Ford,2016 Ford Mustang Shelby GT350R,S1 721,1658,526 cv,53%,RWD
Ford,2014 Ford Ranger T6 Rally Raid,B 530,1950,349 cv,51%,AWD
Ford,2014 Ford FPV Limited Edition Pursuit Ute,B 563,1790,422 cv,55%,RWD
Ford,2014 Ford #11 Rockstar F-150 Trophy Truck,A 613,2154,850 cv,48%,RWD
Ford,2013 Ford Mustang Shelby GT500,A 647,1750,662 cv,56%,RWD
Ford,2011 Ford Transit SuperSportVan,D 235,2040,197 cv,53%,RWD
Ford,2010 Ford Crown Victoria Police Interceptor,D 354,1840,250 cv,54%,RWD
Ford,2009 Ford Focus RS,B 551,1467,301 cv,62%,FWD
Ford,2005 Ford GT,A 676,1538,550 cv,43%,RWD
Ford,2003 Ford Focus RS,C 484,1280,212 cv,62%,FWD
Ford,2003 Ford F-150 SVT Lightning,C 474,2120,380 cv,57%,RWD
Ford,2001 Ford #4 Ford Focus RS,A 639,1230,300 cv,55%,AWD
Ford,2000 Ford Mustang SVT Cobra R,B 528,1628,385 cv,55%,RWD
Ford,1999 Ford Racing Puma,C 401,1174,153 cv,61%,FWD
Ford,1994 Ford Supervan 3,S1 740,890,650 cv,42%,RWD
Ford,1993 Ford Mustang SVT Cobra R,C 432,1420,235 cv,56%,RWD
Ford,1992 Ford Escort RS Cosworth,C 456,1275,224 cv,54%,AWD
Ford,1987 Ford Sierra Cosworth RS500,C 484,1207,221 cv,53%,RWD
Ford,1986 Ford F-150 XLT Lariat Forza Edition,S2 850,1850,185 cv,56%,RWD
Ford,1986 Ford F-150 XLT Lariat,D 263,1850,185 cv,56%,RWD
Ford,1985 Ford RS200 Evolution,S1 710,1050,500 cv,48%,AWD
Formula Drift,2023 Formula Drift #64 Forsberg Racing Nissan Z,S1 783,1361,1050 cv,53%,RWD
Formula Drift,2020 Formula Drift #91 BMW M2,S1 748,1361,822 cv,52%,RWD
Formula Drift,2020 Formula Drift #151 Toyota GR Supra,S1 779,1361,1000 cv,52%,RWD
Formula Drift,2019 Formula Drift #411 Toyota Corolla Hatchback,S1 754,1361,1000 cv,58%,RWD
Formula Drift,2016 Formula Drift #530 HSV Maloo GEN-F,S1 710,1497,1000 cv,52%,RWD
Formula Drift,2015 Formula Drift #13 Ford Mustang,S1 739,1361,1000 cv,54%,RWD
Formula Drift,2013 Formula Drift #777 Chevrolet Corvette,S1 760,1361,1000 cv,50%,RWD
Formula Drift,2009 Formula Drift #99 Mazda RX-8,S1 737,1315,1000 cv,50%,RWD
Formula Drift,2007 Formula Drift #117 599 GTB Fiorano,S1 767,1406,1000 cv,48%,RWD
Formula Drift,2006 Formula Drift #43 Dodge Viper SRT-10 ACR,S1 748,1406,1000 cv,49%,RWD
Formula Drift,1997 Formula Drift #777 Nissan 240SX,S1 748,1270,1000 cv,53%,RWD
Formula Drift,1995 Formula Drift #34 Toyota Supra MkIV,S1 759,1361,1000 cv,53%,RWD
Formula Drift,1989 Formula Drift #98 BMW 325i,S1 726,1225,800 cv,52%,RWD
Funco Motorsports,2018 Funco Motorsports F9,S1 752,1338,1750 cv,30%,RWD
GMC,GMC Jimmy de 1970,C 416,1814,255 cv,56%,AWD
GMC,2022 GMC HUMMER EV Pickup,A 610,4103,1000 cv,51%,AWD
GMC,1992 GMC Typhoon,C 435,1734,280 cv,58%,AWD
GMC,1991 GMC Syclone,C 446,1632,280 cv,62%,AWD
GR,2025 GR GT Prototype,S1 771,1300,650 cv,48%,RWD
Gordon Murray Automotive,2020 Gordon Murray Automotive T.50,S2 871,986,654 cv,41%,RWD
HSV,2014 HSV Limited Edition GEN-F GTS Maloo,A 629,1810,577 cv,53%,RWD
HSV,2014 HSV GEN-F GTS,A 601,1882,577 cv,54%,RWD
Hennessey,2021 Hennessey Venom F5,S2 870,1385,1817 cv,42%,RWD
Hennessey,2019 Hennessey Ford F-150 VelociRaptor 6X6,B 520,3084,600 cv,56%,AWD
Hennessey,2012 Hennessey Venom GT,S2 845,1244,1200 cv,44%,RWD
Holden,Holden Torana A9X 1977,C 413,1165,219 cv,55%,RWD
Honda,Honda Z GT 1972,D 100,595,36 cv,58%,FWD
Honda,Honda S800 de 1970,D 134,720,70 cv,50%,RWD
Honda,Honda N600 1970,D 100,550,45 cv,58%,FWD
Honda,Honda Civic RS 1974,D 254,715,75 cv,60%,FWD
Honda,2023 Honda Civic Type R,A 620,1447,315 cv,62%,FWD
Honda,2022 Honda e,D 398,1515,152 cv,47%,RWD
Honda,2018 Honda Civic Type R,A 608,1380,306 cv,62%,FWD
Honda,2015 Honda Ridgeline Baja Trophy Truck,B 580,2132,550 cv,48%,AWD
Honda,2015 Honda Civic Type R,B 585,1382,306 cv,65%,FWD
Honda,2008 Honda Civic Type R (FD2),B 514,1270,222 cv,61%,FWD
Honda,2007 Honda Civic Type R,C 454,1267,198 cv,61%,FWD
Honda,2005 Honda NSX-R GT,A 608,1270,280 cv,42%,RWD
Honda,2005 Honda NSX-R,B 570,1270,280 cv,42%,RWD
Honda,2004 Honda Civic Type R,C 480,1204,197 cv,61%,FWD
Honda,2004 Honda #52 Evasive Motorsports S2000 WTAC,S2 888,1089,650 cv,50%,RWD
Honda,2003 Honda S2000,B 503,1280,240 cv,50%,RWD
Honda,2001 Honda #33 Integra WTAC,S2 860,1050,600 cv,62%,FWD
Honda,1997 Honda Civic Type R,C 430,1050,182 cv,61%,FWD
Honda,1994 Honda Prelude Si,C 410,1300,160 cv,63%,FWD
Honda,1994 Honda Acty,D 100,730,38 cv,44%,RWD
Honda,1992 Honda NSX-R,B 572,1230,274 cv,42%,RWD
Honda,1992 Honda #21 Hardrace/JDMYard Civic WTAC,R 913,980,650 cv,63%,FWD
Honda,1991 Honda CR-X SiR,C 465,970,158 cv,62%,FWD
Honda,1991 Honda Beat,D 283,760,63 cv,44%,RWD
Honda,1990 Honda #19 101 Motorsport CRX WTAC,S2 877,900,500 cv,62%,FWD
Honda,1986 Honda Civic Si,D 253,885,91 cv,62%,FWD
Honda,1984 Honda Civic CRX Mugen,D 390,825,120 cv,62%,FWD
Honda,1984 Honda City E II,D 203,735,62 cv,61%,FWD
Hyundai,2023 Hyundai IONIQ 5 N,A 657,2235,641 cv,51%,AWD
Hyundai,2022 Hyundai N Vision 74,A 692,1950,670 cv,46%,RWD
Hyundai,2021 Hyundai i20 N,B 564,1190,201 cv,62%,FWD
Hyundai,2020 Hyundai i30 N,B 553,1429,271 cv,62%,FWD
Hyundai,2019 Hyundai Veloster N,B 532,1377,275 cv,62%,FWD
Jaguar,Jaguar Tipo Leve E de 1964,B 568,960,300 cv,49%,RWD
Jaguar,Jaguar E-type 1961,C 414,1219,265 cv,50%,RWD
Jaguar,Jaguar D-Type 1956,B 506,875,300 cv,48%,RWD
Jaguar,2010 Jaguar C-X75,S2 810,1350,778 cv,42%,AWD
Jaguar,1993 Jaguar XJ220S TWR,S1 750,1080,542 cv,43%,RWD
Jaguar,1993 Jaguar XJ220,A 676,1470,542 cv,43%,RWD
Jaguar,1991 Jaguar Sport XJR-15,S1 716,1050,444 cv,45%,RWD
Jeep,2020 Jeep JT,D 336,2109,285 cv,55%,AWD
Jeep,2018 Jeep Grand Cherokee Trackhawk,A 631,2433,707 cv,55%,AWD
Jeep,2016 Jeep Trailcat,A 635,1928,707 cv,54%,AWD
Jeep,2012 Jeep Wrangler Rubicon,D 350,1870,285 cv,55%,AWD
Jimco,2020 Jimco #179 Hammerhead Class 1,A 652,1588,850 cv,52%,RWD
Jimco,2019 Jimco #240 Fastball Racing Class 6100 Spec Trophy Truck,B 511,2268,650 cv,54%,RWD
KTM,2018 KTM X-Bow GT4,S1 749,999,300 cv,44%,RWD
Koenigsegg,2024 Koenigsegg Gemera,S2 900,1850,1400 cv,44%,AWD
Koenigsegg,2020 Koenigsegg Jesko,S2 899,1420,1280 cv,45%,RWD
Koenigsegg,2017 Koenigsegg Agera RS,S2 890,1395,1160 cv,44%,RWD
Koenigsegg,2016 Koenigsegg Regera,S2 886,1590,1057 cv,44%,RWD
Koenigsegg,2015 Koenigsegg One:1,S2 890,1360,1341 cv,44%,RWD
Koenigsegg,2011 Koenigsegg Agera,S2 810,1435,947 cv,45%,RWD
Koenigsegg,2008 Koenigsegg CCGT,S2 900,1100,600 cv,46%,RWD
Lamborghini,Lamborghini Miura P400 de 1967,B 505,1125,350 cv,43%,RWD
Lamborghini,2024 Lamborghini Temerario,S2 801,1690,907 cv,43%,AWD
Lamborghini,2024 Lamborghini Revuelto,S2 829,1772,1001 cv,44%,AWD
Lamborghini,2022 Lamborghini Huracán Tecnica,S1 747,1379,631 cv,41%,RWD
Lamborghini,2022 Lamborghini Huracán Sterrato,S1 738,1470,602 cv,43%,AWD
Lamborghini,2022 Lamborghini Huracán EVO Spyder,S1 757,1542,631 cv,43%,AWD
Lamborghini,2022 Lamborghini Aventador LP 780-4 Ultimae,S1 794,1550,769 cv,43%,AWD
Lamborghini,2021 Lamborghini Countach LPI 800-4,S1 773,1595,803 cv,44%,AWD
Lamborghini,2020 Lamborghini Sián Roadster,S1 797,1650,808 cv,43%,AWD
